date,btc_in_trust,net_assets_usd,implied_btc_px,nav_usd,closing_price_usd,premium_discount_pct,shares_outstanding,share_delta,btc_delta,management_fee_pct,est_fee_drain_btc,w_shares,flow_method_agreement,flow_btc_final,flow_usd_final,cumulative_flow_usd,btc_inventory,cost_basis_usd,avg_buy_price_ex_fee,effective_cost_per_current_btc,confidence_score_0_1,observed_annual_fee_drag_pct,estimated_annual_fee_pct,fee_model_error_pct,obs_ts_utc
2025-11-06,795916.0814051817,80468622229.2,101101.89266077496,57.369405,57.369405,0.0,1402640000.0,-6360000.0,-3614.4038477943977,0.25,5.47623620036285,1.0,0.9999999948034656,-3608.927649101868,-364869415.8,50503543871.99996,798007.6664993092,69219165646.9427,86739.97575811838,86967.91943785956,0.9999999880637175,0.24999828748228925,0.25,-1.7125177107502054e-06,backfill
2025-11-07,797022.8075952078,82410379378.79999,103397.76803560262,58.671778,58.671778,0.0,1404600000.0,1960000.0,1106.726190026151,0.25,5.4514800096245315,1.0,0.9999999832137073,1112.1776326970962,114996684.88000001,50618540556.87996,799119.8441320063,69334162331.82271,86763.15929450179,86991.44073557825,0.9999999612261564,0.24999828878308206,0.25,-1.7112169179434034e-06,backfill
2025-11-10,795735.3966042348,84386393156.87999,106048.30891902665,60.174558,60.174558,0.0,1402360000.0,-2240000.0,-1287.4109909730032,0.25,16.37718097798372,1.0,0.9999999117481096,-1271.034034337312,-134791009.92,50483749546.95996,797848.810097669,69223883403.43277,86763.15929450179,86993.59573401233,0.9999997992659451,0.2499965747623049,0.25,-3.42523769508718e-06,backfill
2025-11-11,795729.9463991227,81884166415.96,102904.46751000844,58.390261,58.390261,0.0,1402360000.0,0.0,-5.450205112108961,0.25,5.450242442494759,1.0,2.6787828621976928e-08,0.0,0.0,50483749546.95996,797848.810097669,69223883403.43277,86763.15929450179,86994.19158055843,0.6999931586820527,0.24999828744581842,0.25,-1.7125541815765644e-06,backfill
2025-11-12,797903.3818709252,81042017153.6,101568.7099402737,57.631928,57.631928,0.0,1406200000.0,3840000.0,2173.4354718024842,0.25,5.450205112322759,1.0,0.9999999914336563,2178.8856395846396,221306603.51999998,50705056150.47996,800027.6957372536,69445190006.95277,86803.48240063938,87034.58537062166,0.9999999802544468,0.24999828869798346,0.25,-1.7113020165382409e-06,backfill
2025-11-13,797534.7716973983,78417394153.8,98324.733838132,55.790855,55.790855,0.0,1405560000.0,-640000.0,-368.6101735269185,0.25,5.465091656650173,1.0,0.9999999484615438,-363.14511930214405,-35706147.2,50669350003.27996,799664.5506179516,69413667745.98055,86803.48240063936,87035.28699851794,0.9999998829897856,0.24999828349075992,0.25,-1.716509240079489e-06,backfill
2025-11-14,794919.2215002121,75440755955.84,94903.67563822838,53.849329,53.849329,0.0,1400960000.0,-4600000.0,-2615.5501971861813,0.25,5.462566929434234,1.0,0.9999999928327364,-2610.0876676711196,-247706913.39999995,50421643089.87996,797054.4629502804,69187103047.05573,86803.48240063936,87036.64620976493,0.9999999835452312,0.24999829114558114,0.25,-1.7088544188581523e-06,backfill
2025-11-17,790023.2589165688,72387582262.08,91627.15330857113,51.989128,51.989128,0.0,1392360000.0,-8600000.0,-4895.962583643268,0.25,16.33395660616874,1.0,0.9999999770730467,-4879.6288507871395,-447106500.79999995,49974536589.079956,792174.8340994932,68763534269.98477,86803.48240063938,87039.88584372376,0.9999999474209846,0.24999657481768653,0.25,-3.42518231347122e-06,backfill
2025-11-18,788429.14234694,73281420258.40001,92946.1080551515,52.73714,52.73714,0.0,1389560000.0,-2800000.0,-1594.1165696288226,0.25,5.411118211757321,1.0,0.9999999883357439,-1588.7054884792003,-147663992.0,49826872597.079956,790586.128611014,68625629101.07577,86803.48240063938,87040.95956777531,0.9999999732513976,0.24999828947602776,0.25,-1.7105239722425836e-06,backfill
2025-11-19,782795.22414806,69680829049.2,89015.39879096454,50.50653,50.50653,0.0,1379640000.0,-9920000.0,-5633.918198880041,0.25,5.400199605116027,1.0,0.9999999967143136,-5628.518036262016,-501024777.5999999,49325847819.47996,784957.610574752,68137054134.773415,86803.48240063938,87043.26755305522,0.9999999924492199,0.24999828421612413,0.25,-1.7157838758663502e-06,backfill
2025-11-20,783470.7270274935,67802538684.24001,86541.2533554305,49.102386,49.102386,0.0,1380840000.0,1200000.0,675.5028794335667,0.25,5.36161112430178,1.0,0.999999973031822,680.86445383452,58922863.2,49384770682.679955,785638.4750285865,68195976997.97341,86803.25514288491,87043.42695318122,0.9999999375450876,0.24999829180205602,0.25,-1.7081979439836914e-06,backfill
