date,nav_usd,shares_outstanding,btc_per_share,btc_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_btc,management_fee_pct,obs_ts_utc
2024-07-12,32.976119,551960000.0,0.0005693178776309,314240.6957371566,18201498643.24,32.976119,0.0,,,0.25,backfill
2024-07-15,36.187272,555600000.0,0.0005693061794786,316306.51331831247,20105648323.2,36.187272,0.0,,,0.25,backfill
2024-07-16,36.96416,558840000.0,0.0005693022801479,318148.88623786264,20657051174.4,36.96416,0.0,,,0.25,backfill
2024-07-17,36.790356,565880000.0,0.0005692983808439,322154.5677519687,20818926653.280003,36.790356,0.0,,,0.25,backfill
2024-07-18,36.151944,568880000.0,0.0005692944815666,323860.2446736466,20566117902.72,36.151944,0.0,,,0.25,backfill
2024-07-19,38.223136,571720000.0,0.0005692905823161,325474.81172176363,21852931313.92,38.223136,0.0,,,0.25,backfill
2024-07-22,38.614564,574760000.0,0.0005692788847246,327198.7317843428,22194106804.64,38.614564,0.0,,,0.25,backfill
2024-07-23,37.470087,588400000.0,0.0005692749855809,334961.40151581226,22047399190.799995,37.470087,0.0,,,0.25,backfill
2024-07-24,37.496918,590320000.0,0.0005692710864638,336052.1077613622,22135180633.76,37.496918,0.0,,,0.25,backfill
2024-07-25,36.847753,592080000.0,0.0005692671873735,337051.7163001394,21816817596.24,36.847753,0.0,,,0.25,backfill
2024-07-26,38.599186,594000000.0,0.0005692632883099,338142.3932561072,22927916484.000004,38.599186,0.0,,,0.25,backfill
2024-07-29,38.361841,594600000.0,0.0005692515912793,338476.99617468537,22809950658.6,38.361841,0.0,,,0.25,backfill
2024-07-30,37.434463,599960000.0,0.0005692476923225,341525.8454858228,22459180421.480003,37.434463,0.0,,,0.25,backfill
2024-07-31,37.480653,601960000.0,0.0005692437933924,342661.99387050985,22561853879.88,37.480653,0.0,,,0.25,backfill
2024-08-01,35.977455,602520000.0,0.000569239894489,342978.42122754094,21677136186.6,35.977455,0.0,,,0.25,backfill
2024-08-02,35.678531,603240000.0,0.0005692359956123,343385.9219932032,21522717040.44,35.678531,0.0,,,0.25,backfill
